movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
565819,Выживут только любовники,7.422,118,41473.0,2013,7.3,57148.0,"фэнтези, триллер, драма","Германия, Великобритания, Франция, Греция",$7 000 000,85.0,Only Lovers Left Alive
4299,Грязные танцы 2: Гаванские ночи,7.422,86,11855.0,2004,6.0,21384.0,"драма, мелодрама",США,$25 000 000,22.0,Dirty Dancing: Havana Nights
609349,Тело,7.422,108,7660.0,2012,7.4,11904.0,"триллер, детектив",Испания,,,El cuerpo
9207,А как же Боб?,7.422,95,6400.0,1991,7.0,47925.0,комедия,США,$35 000 000,82.0,What About Bob?
463210,Это очень забавная история,7.422,101,36020.0,2010,7.2,100425.0,"драма, мелодрама, комедия",США,$8 000 000,58.0,It's Kind of a Funny Story
8169,Космический джем,7.422,87,17915.0,1996,6.3,102160.0,"мультфильм, фантастика, фэнтези, комедия, приключения, семейный, спорт",США,$80 000 000,35.0,Space Jam
631754,Связь (сериал 2012 – 2013),7.422,43,5217.0,2012,7.4,35127.0,"фантастика, драма, детектив",США,,,Touch
580181,Третий акт,7.421,109,3797.0,2011,7.0,10932.0,"драма, комедия",США,,30.0,The Magic of Belle Isle
688384,Дом,7.421,93,35919.0,2015,6.7,63860.0,"мультфильм, фантастика, комедия, приключения, семейный",США,$135 000 000,45.0,Home
5504,Идеальное убийство,7.42,107,15277.0,1998,6.5,61769.0,"триллер, драма, криминал",США,$60 000 000,55.0,A Perfect Murder
182352,Козырные тузы,7.42,108,43734.0,2006,6.7,115775.0,"боевик, триллер, драма, криминал","Великобритания, Франция, США",$17 000 000,29.0,Smokin' Aces
9544,Крепкий орешек 4.0,7.42,128,68031.0,2007,7.2,322847.0,"боевик, триллер, приключения","США, Великобритания",$110 000 000,82.0,Live Free or Die Hard
64021,Зомби по имени Шон,7.419,100,64309.0,2004,8.0,369529.0,"ужасы, комедия","Великобритания, Франция, США",£4 000 000,92.0,Shaun of the Dead
8043,Мечтатели,7.419,116,46281.0,2003,7.2,77854.0,"драма, мелодрама","Великобритания, Франция, Италия",$15 000 000,61.0,The Dreamers
406186,Приключения Тинтина: Тайна Единорога,7.418,101,38580.0,2011,7.4,173354.0,"мультфильм, боевик, детектив, приключения, семейный","США, Новая Зеландия",$140 000 000,75.0,The Adventures of Tintin
679830,Мстители: Эра Альтрона,7.418,141,113599.0,2015,7.6,398460.0,"фантастика, боевик, приключения",США,$250 000 000,74.0,Avengers: Age of Ultron
557837,Резня,7.417,80,32868.0,2011,7.2,92290.0,"драма, комедия","Германия, Франция, Испания, Польша",$25 000 000,71.0,Carnage
86206,Пила 2,7.417,93,53632.0,2005,6.6,179209.0,"ужасы, криминал","США, Канада",$4 000 000,,Saw II
574907,Краткий курс счастливой жизни (сериал),7.417,52,7501.0,2011,7.0,45.0,"драма, мелодрама",Россия,,,
4682,Гладиатор,7.416,101,3038.0,1992,6.4,6342.0,"боевик, драма, спорт",США,,25.0,Gladiator
568018,Эпизоды (сериал 2011 – ...),7.415,28,3527.0,2011,7.8,24311.0,комедия,"США, Великобритания",,,Episodes
783,Идеальный шторм,7.415,130,20700.0,2000,6.4,127967.0,"боевик, триллер, драма, приключения",США,$140 000 000,47.0,The Perfect Storm
75872,Сочувствие господину Месть,7.415,129,6901.0,2002,7.7,42373.0,"триллер, драма, криминал",Корея Южная,$4 000 000,,Boksuneun naui geot
231991,Оранжевая любовь,7.414,80,10250.0,2007,6.9,796.0,"драма, мелодрама",Украина,$740 000,,
4041,Питер Пэн,7.414,113,11541.0,2003,6.9,52479.0,"фэнтези, мелодрама, приключения, семейный","Австралия, США, Великобритания",$100 000 000,77.0,Peter Pan
41634,Мусульманин,7.414,110,3809.0,1995,7.2,331.0,драма,Россия,,,
410597,Мать,7.413,129,3515.0,2009,7.8,24830.0,"триллер, драма, криминал, детектив",Корея Южная,$5 000 000,95.0,Madeo
677442,Милая Фрэнсис,7.413,86,8240.0,2012,7.4,41537.0,"драма, мелодрама, комедия","США, Бразилия",,93.0,Frances Ha
229852,Стьюи Гриффин: Нерассказанная история (видео),7.412,88,3185.0,2005,7.7,29805.0,"мультфильм, комедия, приключения",США,,,Family Guy Presents Stewie Griffin: The Untold Story
8839,"Там, где течет река",7.412,123,3432.0,1992,7.3,39767.0,драма,США,,83.0,A River Runs Through It
325701,Коко до Шанель,7.41,111,23047.0,2009,6.7,30980.0,"драма, биография, история","Франция, Бельгия",$23 000 000,63.0,Coco avant Chanel
25171,Двое: Я и моя тень,7.41,101,35850.0,1995,5.7,14349.0,"мелодрама, комедия, семейный",США,,8.0,It Takes Two
2221,Тумстоун: Легенда дикого запада,7.41,130,3480.0,1993,7.8,89927.0,"боевик, драма, вестерн, история",США,$25 000 000,73.0,Tombstone
378,"Крадущийся тигр, затаившийся дракон",7.41,120,20587.0,2000,7.9,207571.0,"боевик, драма, мелодрама","Тайвань, Гонконг, США, Китай",$17 000 000,97.0,Wo hu cang long
63983,Без ума от любви,7.408,92,8444.0,2005,7.0,7196.0,"драма, мелодрама, комедия",США,$12 000 000,,Mozart and the Whale
715319,Ты не ты,7.408,103,4314.0,2014,7.4,14360.0,драма,США,,40.0,You're Not You
653696,Географ глобус пропил,7.408,125,64688.0,2013,7.5,2277.0,драма,Россия,,,
450765,Меняющие реальность,7.407,105,98999.0,2011,7.1,194745.0,"фантастика, триллер, мелодрама",США,$51 000 000,72.0,The Adjustment Bureau
36544,Рассвет мертвецов,7.407,109,45136.0,2004,7.4,185345.0,"ужасы, фантастика, боевик, триллер","США, Канада, Япония, Франция",$26 000 000,75.0,Dawn of the Dead
464090,Секретная служба Санта-Клауса,7.407,97,19212.0,2011,7.1,34848.0,"мультфильм, комедия, семейный, приключения, фэнтези","Великобритания, США",$99 000 000,92.0,Arthur Christmas
777,Братство волка,7.407,142,27824.0,2001,7.1,50231.0,"ужасы, боевик, драма, детектив, приключения",Франция,$29 000 000,72.0,Le Pacte des loups
6522,Ловушка для родителей,7.406,128,29838.0,1998,6.4,82117.0,"драма, мелодрама, комедия, приключения, семейный",США,,86.0,The Parent Trap
371105,Дрейк и Джош (сериал 2004 – 2007),7.406,22,4458.0,2004,7.6,23880.0,"комедия, семейный",США,,,Drake & Josh
463135,Неизвестный,7.406,113,60038.0,2011,6.9,205437.0,"боевик, триллер, детектив","Великобритания, Германия, Франция, США",$30 000 000,55.0,Unknown
279160,Генетическая опера,7.405,97,8605.0,2008,6.7,19301.0,"мюзикл, ужасы, фантастика, триллер, драма",США,$8 500 000,35.0,Repo! The Genetic Opera
608559,И грянул шторм,7.404,117,6836.0,2016,7.1,6420.0,"боевик, триллер, драма, история",США,,62.0,The Finest Hours
794525,Бэтмен: Нападение на Аркхэм (видео),7.404,76,3726.0,2014,7.4,13435.0,"мультфильм, боевик, триллер, криминал",США,,,Batman: Assault on Arkham
780,Комната страха,7.403,107,47157.0,2002,6.8,198994.0,триллер,США,$48 000 000,76.0,Panic Room
607,Фанатик,7.403,102,12869.0,2001,7.3,28848.0,драма,США,$1 500 000,82.0,The Believer
306,Рекрут,7.403,115,23093.0,2003,6.6,106855.0,"боевик, триллер, драма, криминал",США,,43.0,The Recruit
591792,Рейд,7.403,96,37999.0,2011,7.6,136006.0,"боевик, триллер","Индонезия, Франция, США",$1 100 000,85.0,The Raid
94111,Статский советник,7.403,125,23339.0,2005,7.2,2050.0,"драма, криминал, детектив",Россия,$4 000 000,,
61272,Любовная лихорадка,7.403,119,5427.0,2004,7.2,21197.0,драма,США,,43.0,A Love Song for Bobby Long
4554,Блэйд,7.403,120,61172.0,1998,7.1,179477.0,"ужасы, боевик, фэнтези",США,$45 000 000,55.0,Blade
41543,Настя,7.4,89,3638.0,1993,6.9,304.0,"мелодрама, комедия",Россия,,,
258693,Праздник любви,7.4,101,8949.0,2007,6.7,13095.0,"драма, мелодрама",США,,39.0,Feast of Love
17027,Дюймовочка,7.4,86,3165.0,1994,6.3,10633.0,"мультфильм, мюзикл, фэнтези, мелодрама, семейный","Ирландия, США",$28 000 000,25.0,Thumbelina
604,Королевская битва,7.4,114,17516.0,2000,7.7,131135.0,"фантастика, боевик, триллер, драма",Япония,$4 500 000,86.0,Batoru rowaiaru
276379,Последнее воскресение,7.399,113,6172.0,2009,7.0,15050.0,"драма, мелодрама, биография","Германия, Россия, Великобритания",$18 000 000,71.0,The Last Station
887610,Области тьмы (сериал 2015 – ...),7.399,42,5502.0,2015,7.9,29685.0,"фантастика, триллер, драма",США,,,Limitless
6177,Монстр,7.398,109,15967.0,2003,7.3,98540.0,"драма, криминал, биография","США, Германия",$8 000 000,82.0,Monster
70955,Вольт,7.398,96,54981.0,2008,6.9,138212.0,"мультфильм, комедия, приключения, семейный",США,$150 000 000,89.0,Bolt
61293,Останься,7.398,95,26321.0,2005,6.9,56752.0,"триллер, драма, детектив",США,$50 000 000,27.0,Stay
468994,Заклятие,7.398,112,67879.0,2013,7.5,275433.0,"ужасы, триллер",США,$20 000 000,86.0,The Conjuring
309475,Операция «Валькирия»,7.397,121,37844.0,2008,7.1,178857.0,"триллер, драма, военный","США, Германия",$75 000 000,62.0,Valkyrie
4739,Темный город,7.397,100,20411.0,1998,7.7,150025.0,"фантастика, фэнтези, триллер, драма","Австралия, США",$27 000 000,74.0,Dark City
