movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,genres,countries,description,poster,path
38881,Танцы улиц,7.348,95,5115,2004,"драма, музыка",США,"Этим танцам не учат в балетной школе, а их движения не придуманы опытными хореографами. Они рождаются на улицах мегаполисов под техноритмы XXI века. Обычные парни и девушки из рабочих кварталов - такие, как герои фильма Элджин, Рико, Дэвид, Рашанн и Вик - делают музыкальную историю больших городов, участвуя в импровизированных дэнс-битвах.

Хип-хоп, брейк, электробуги, хаус, ритм-н-бейс - в ход идут все стили и направления. Победить в таком состязании - значит поднять свой престиж на недосягаемую высоту.

Но чтобы стать богами стрит-дэнса, придется сражаться за это право с лучшими из лучших, и если тебе бросили вызов, отказ равносилен поражению.",https://kinopoiskapiunofficial.tech/images/posters/kp/38881.jpg,./static/clips/38881.mp4
11037,Счастливый случай,7.348,101,4174,1994,"драма, мелодрама, комедия",США,"Самая большая неудача в жизни полицейского Чарли Лэнга — это его жена, которая с утра до вечера может говорить и думать только о деньгах. У него самого их не хватает даже на чаевые очаровательной официантке. В кармане — только лотерейный билет, купленный по совету мудрой супруги.

Не задумываясь, Чарли обещает девушке половину своего выигрыша. И вот четыре миллиона долларов сваливаются ему на голову. Первую половину суммы уже успешно тратит его жена, окончательно поглупевшая от такого счастья. Теперь Чарли богат, но он не забыл, что еще должен заплатить чаевые… в два миллиона долларов.",https://kinopoiskapiunofficial.tech/images/posters/kp/11037.jpg,./static/clips/11037.mp4
262771,99 франков,7.347,99,66847,2007,"драма, комедия",Франция,"Октаву нет равных во вселенной: ведь он занимается рекламой! Это он решает, чего вам захочется завтра. Для него «человек - это такой же продукт, как и все остальные». Октав трудится в крупнейшем рекламном агентстве. У него полно денег, женщин и кокаина, но, тем не менее, его терзают сомнения. Две вещи в корне меняют жизнь Октава: роман с Софи, самой красивой сотрудницей агентства, и совещание в гигантском молочном концерне «Мадон» по поводу рекламного ролика. Октав срывается с катушек и решает взбунтоваться против системы, которая его породила, саботируя свою же рекламную кампанию.",https://kinopoiskapiunofficial.tech/images/posters/kp/262771.jpg,./static/clips/262771.mp4
45789,"Виват, гардемарины!",7.347,140,6800,1991,"мелодрама, приключения, история",СССР,"В основе авантюрно-приключенческого фильма о гардемаринах исторический факт - приезд в Россию инкогнито в 1744 году невесты наследника престола Петра III Софьи Фредерики Ангальт-Цербстской, будущей императрицы Екатерины II.",https://kinopoiskapiunofficial.tech/images/posters/kp/45789.jpg,./static/clips/45789.mp4
462,Быть Джоном Малковичем,7.343,112,25386,1999,"фэнтези, драма",США,"Кукольник-неудачник по имени Шварц устраивается на работу в странную и невероятно тесную контору. В своем кабинете новоиспеченный клерк Крэйг обнаруживает крошечную потайную дверцу. Удивлению не было границ, когда он обнаружил, что за дверцей скрыт ход... в мозг голливудской звезды Джона Малковича! И тогда предприимчивый кукловод решает организовать доходное предприятие по организации экскурсий в голову звезды для всех желающих.",https://kinopoiskapiunofficial.tech/images/posters/kp/462.jpg,./static/clips/462.mp4
4053,В осаде,7.343,103,19860,1992,"боевик, триллер","Франция, США","Линкор ВМС США «Миссури», снятый с боевой службы, направляется к берегам США. Во время перехода его захватывают террористы, которые хотят воспользоваться оставшимся на борту оружием для достижения своих целей. Им почти это удается, но тут в дело вмешивается кок корабля — бывший командир спецподразделения морской пехоты Кейси Райбек.",https://kinopoiskapiunofficial.tech/images/posters/kp/4053.jpg,./static/clips/4053.mp4
310960,Шаг вперед 2: Улицы,7.343,98,63531,2008,"мюзикл, драма, мелодрама, музыка",США,"Уличная танцовщица Энди поступает в Мэрилендскую школу искусств. Занимаясь там, она стремится доказать, что ни в чем не уступает другим студентам. Познакомившись с лучшим учеником школы Чейзом, Энди создает коллектив, который должен выступать в подпольном танцевальном состязании «Улицы». В итоге Энди удается реализовать свои мечты и справиться с одолевающими ее проблемами...",https://kinopoiskapiunofficial.tech/images/posters/kp/310960.jpg,./static/clips/310960.mp4
424044,Враг государства №1,7.341,113,12503,2008,"триллер, драма, криминал","Франция, Канада, Италия","Первая часть истории Жака Мерина, знаменитого французского гангстера, который в 70-е годы был настоящим врагом государства N1. В течение почти двух десятков лет Жак Мерин, выходец из благополучной буржуазной семьи, организовывал и принимал участие в многочисленных вооруженных налетах на французские банки с редкими перерывами на тюремные отсидки, пока, наконец, не был схвачен канадской полицией во время очередного ограбления.",https://kinopoiskapiunofficial.tech/images/posters/kp/424044.jpg,./static/clips/424044.mp4
1887,Дикая река,7.341,111,4688,1994,"триллер, криминал, приключения",США,"Нельзя сказать, что Гейл счастлива в браке: они с мужем на грани развода. Но однажды она принимает судьбоносное для семьи решение: отправиться в путешествие по бурной реке, знакомой ей с молодых лет. Семейные дрязги отходят на второй план, когда куда большую опасность, чем дикая вода, начинают представлять люди, оказавшиеся рядом.",https://kinopoiskapiunofficial.tech/images/posters/kp/1887.jpg,./static/clips/1887.mp4
818981,Реальные упыри,7.341,85,28016,2014,"комедия, ужасы","Новая Зеландия, США","История жизни Виаго, Дикона и Владислава — трёх соседей и по совместительству бессмертных вампиров, которые всего лишь пытаются выжить в современном мире, где есть арендная плата, фейсконтроль в ночных клубах, губительный солнечный свет и другие неприятности.",https://kinopoiskapiunofficial.tech/images/posters/kp/818981.jpg,./static/clips/818981.mp4
87477,Здесь курят,7.341,92,23209,2005,"драма, комедия",США,"Работа у Ника Нэйлора не из лёгких. Он должен лоббировать табакокурение, насколько это только возможно. Казалось бы, абсурд: вступать в конфликт с ярыми противниками курения и пытаться доказать полезность последнего. Но такая уж у Ника работа. И он в ней добился немалых результатов, агитируя всех к курению в ток-шоу на телевидении и продвигая сигареты в кинофильмах. Однако сам Ник никогда не считал курение сколько либо полезным занятием. Он раскручивает сигареты, чтобы было, на что жить и растить сына.",https://kinopoiskapiunofficial.tech/images/posters/kp/87477.jpg,./static/clips/87477.mp4
102838,Зодиак,7.339,158,75849,2007,"триллер, драма, криминал, детектив",США,"4 июля 1969 года неизвестный расстреливает влюблённую парочку на окраине города Вальехо в штате Калифорния. Месяц спустя в издательства крупных газет начинают приходить зашифрованные письма, в которых убийца, называющий себя Зодиаком, угрожает убить ещё 12 человек, если текст письма, содержащий тайну его личности, не будет опубликован на передовице. Помимо полицейских из разных штатов к расследованию подключаются матёрый репортёр San Francisco Chronicle Пол Эйвери и молодой карикатурист Роберт Грейсмит, работающий в той же газете. Вскоре убийца наносит новый удар.",https://kinopoiskapiunofficial.tech/images/posters/kp/102838.jpg,./static/clips/102838.mp4
277555,КостяНика. Время лета,7.339,100,5760,2006,мелодрама,Россия,"Лето 1995 года. Подмосковный поселок. Тут, как водится, кипит своя веселая дачная жизнь. Старшеклассники, опьяненные свободой трехмесячных каникул, ведут себя соответственно возрасту. Ежевечерние собрания, громкая музыка из магнитофона, бренчание гитары, легкий флирт. В этой легкомысленной, ни к чему не обязывающей обстановке и рождается настоящее чувство между 15-летней Никой и 16-летним Костей.

Ника — девушка из обеспеченной семьи, ее отец — известный художник. Ее мама умерла, когда девочке было шесть лет, воспитывает Нику гувернантка Полина. У отца молодая жена и, по сути, своя жизнь. Полина — женщина строгая, без особых сантиментов, со своими амбициями. Так что живет девушка в полном материальном достатке, в шикарном коттедже, но с пустотой в душе. Костя оказывается единственным человеком, который понял Нику, смог стать ей другом. Но самое главное, что девушка нездорова и ее недуг еще больше обостряет интригу сюжета.",https://kinopoiskapiunofficial.tech/images/posters/kp/277555.jpg,./static/clips/277555.mp4
